customer_id,recency,frequency,monetary,R_score,F_score,M_score,segment,primary_country,total_transactions,unique_invoices,unique_products,first_purchase,last_purchase,customer_lifespan_days
12376,389,2,383.15,2,2,2,At Risk,SWITZERLAND,11,2,10,2010-10-18 08:42:00,2010-11-15 12:15:00,28
12377,314,4,3266.32,2,3,5,At Risk,SWITZERLAND,150,4,128,2010-04-29 15:34:00,2011-01-28 15:45:00,274
12378,129,2,5416.32,3,2,5,Big Spenders,SWITZERLAND,301,2,281,2010-05-26 14:07:00,2011-08-02 10:34:00,432
12379,81,4,1470.22,3,3,4,Big Spenders,BELGIUM,77,4,57,2010-06-23 12:49:00,2011-09-19 10:09:00,452
12380,21,8,7210.65,4,4,5,Champions,BELGIUM,267,8,154,2010-02-15 12:05:00,2011-11-18 11:27:00,640
12381,4,3,1474.81,5,3,4,Big Spenders,NORWAY,82,3,69,2011-08-12 09:57:00,2011-12-05 12:44:00,115
12383,184,5,1628.56,3,4,4,Big Spenders,BELGIUM,94,5,83,2010-12-22 14:28:00,2011-06-08 08:02:00,167
12384,28,2,425.27,4,2,2,Potential Loyalists,SWITZERLAND,25,2,25,2011-08-10 11:23:00,2011-11-11 08:39:00,92
12385,378,1,1668.4,2,1,4,Big Spenders,BELGIUM,64,1,64,2010-11-25 15:14:00,2010-11-25 15:14:00,0
12386,337,2,401.9,2,2,2,At Risk,AUSTRALIA,10,2,10,2010-12-08 09:53:00,2011-01-06 12:37:00,29
12387,414,1,143.94,1,1,1,Lost,AUSTRALIA,9,1,9,2010-10-20 16:27:00,2010-10-20 16:27:00,0
12388,15,8,3901.11,5,4,5,Champions,AUSTRALIA,146,8,83,2010-05-06 12:54:00,2011-11-24 12:30:00,566
12389,402,3,1433.33,2,3,4,At Risk,AUSTRALIA,49,3,41,2010-02-22 10:15:00,2010-11-02 11:52:00,253
12390,79,1,504.84,3,1,2,Potential Loyalists,BELGIUM,31,1,31,2011-09-21 09:33:00,2011-09-21 09:33:00,0
12391,21,6,2724.84,4,4,4,Champions,CYPRUS,267,6,241,2010-02-15 10:12:00,2011-11-18 12:07:00,641
12392,590,1,234.75,1,1,1,Lost,AUSTRALIA,7,1,7,2010-04-27 14:04:00,2010-04-27 14:04:00,0
12393,71,6,2399.45,3,4,4,Big Spenders,AUSTRALIA,107,6,63,2010-10-07 13:49:00,2011-09-28 15:41:00,356
12394,63,2,1080.48,3,2,3,Potential Loyalists,BELGIUM,25,2,25,2011-05-06 14:01:00,2011-10-07 08:08:00,153
12395,18,15,4241.17,5,5,5,Champions,BELGIUM,227,15,144,2010-04-16 10:16:00,2011-11-20 15:21:00,583
12396,673,1,931.43,1,1,3,Lost,RSA,65,1,65,2010-02-03 13:22:00,2010-02-03 13:22:00,0
12397,35,2,2214.9,4,2,4,Big Spenders,BELGIUM,124,2,109,2011-07-27 14:21:00,2011-11-04 09:52:00,99
12398,45,1,1435.66,4,1,4,Big Spenders,SWITZERLAND,84,1,84,2011-10-25 10:27:00,2011-10-25 10:27:00,0
12399,118,7,1842.3,3,4,4,Big Spenders,BELGIUM,103,7,66,2010-03-05 08:45:00,2011-08-12 13:15:00,525
12400,413,1,205.25,1,1,1,Lost,AUSTRALIA,11,1,11,2010-10-21 13:45:00,2010-10-21 13:45:00,0
12401,302,1,69.3,2,1,1,Lost,BELGIUM,4,1,4,2011-02-09 13:50:00,2011-02-09 13:50:00,0
12402,322,6,1136.9,2,4,3,At Risk,BELGIUM,64,6,42,2010-02-07 12:41:00,2011-01-20 13:49:00,347
12403,49,2,947.36,4,2,3,Potential Loyalists,DENMARK,7,2,4,2010-07-06 11:39:00,2011-10-21 10:51:00,471
12404,681,1,63.24,1,1,1,Lost,FINLAND,1,1,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0
12405,148,1,1390.39,3,1,4,Big Spenders,FINLAND,53,1,53,2011-07-14 08:52:00,2011-07-14 08:52:00,0
12406,21,5,6390.36,4,4,5,Champions,DENMARK,166,5,114,2010-01-11 14:04:00,2011-11-17 19:22:00,675
12407,49,5,1507.12,4,4,4,Champions,BELGIUM,72,5,56,2011-03-20 13:21:00,2011-10-21 10:11:00,214
12408,32,8,3905.77,4,4,5,Champions,BELGIUM,152,8,103,2010-07-29 13:27:00,2011-11-07 12:27:00,465
12409,78,7,23419.29,3,4,5,Big Spenders,SWITZERLAND,264,7,177,2010-05-23 15:21:00,2011-09-22 10:38:00,486
12410,308,3,773.71,2,3,3,At Risk,SWITZERLAND,38,3,35,2010-07-25 13:26:00,2011-02-04 10:39:00,193
12411,409,1,346.9,1,1,2,Lost,AUSTRALIA,22,1,22,2010-10-26 09:25:00,2010-10-26 09:25:00,0
12412,74,6,2404.93,3,4,4,Big Spenders,DENMARK,121,6,81,2010-06-18 13:22:00,2011-09-26 10:16:00,464
12413,66,4,871.45,3,3,3,Loyal Customers,FRANCE,48,4,40,2010-11-02 13:26:00,2011-10-04 09:00:00,335
12414,216,4,532.41,2,3,2,At Risk,AUSTRIA,22,4,19,2010-09-02 12:22:00,2011-05-06 14:51:00,246
12415,23,24,144033.37,4,5,5,Champions,AUSTRALIA,922,24,496,2010-06-30 08:30:00,2011-11-15 14:22:00,503
12416,656,1,202.56,1,1,1,Lost,AUSTRALIA,11,1,11,2010-02-21 10:19:00,2010-02-21 10:19:00,0
12417,2,20,5998.41,5,5,5,Champions,BELGIUM,350,20,269,2009-12-06 10:30:00,2011-12-06 14:52:00,730
12418,112,4,2021.2,3,3,4,Big Spenders,SWITZERLAND,102,4,90,2010-03-19 14:47:00,2011-08-19 11:08:00,517
12419,385,2,391.01,2,2,2,At Risk,SPAIN,23,2,22,2010-10-22 10:40:00,2010-11-19 10:04:00,27
12420,63,1,600.39,3,1,2,Potential Loyalists,CYPRUS,29,1,29,2011-10-07 08:55:00,2011-10-07 08:55:00,0
12421,15,6,874.6,5,4,3,Champions,SPAIN,59,6,43,2010-07-22 13:57:00,2011-11-24 09:07:00,489
12422,95,12,3639.35,3,5,5,Big Spenders,SWITZERLAND,162,12,135,2009-12-18 12:44:00,2011-09-05 09:48:00,625
12423,0,10,2301.39,5,5,4,Champions,BELGIUM,155,10,127,2010-08-31 09:31:00,2011-12-09 10:10:00,465
12424,162,4,3340.03,3,3,5,Big Spenders,AUSTRALIA,92,4,78,2010-06-09 15:15:00,2011-06-30 12:06:00,385
12425,77,2,1741.41,3,2,4,Big Spenders,PORTUGAL,91,2,87,2010-09-17 14:10:00,2011-09-22 17:31:00,370
12426,194,2,1201.21,2,2,4,At Risk,GERMANY,75,2,72,2010-02-15 08:41:00,2011-05-29 12:26:00,468
12427,21,3,699.8,4,3,3,Loyal Customers,GERMANY,28,3,25,2010-12-03 10:44:00,2011-11-18 08:56:00,349
12428,25,8,6405.26,4,4,5,Champions,FINLAND,287,8,256,2011-03-01 09:33:00,2011-11-14 08:22:00,257
12429,8,8,5842.41,5,4,5,Champions,DENMARK,150,8,123,2010-06-11 13:28:00,2011-11-30 17:22:00,537
12430,42,1,216.4,4,1,1,Potential Loyalists,NORWAY,10,1,10,2011-10-27 15:09:00,2011-10-27 15:09:00,0
12431,35,25,10102.22,4,5,5,Champions,AUSTRALIA,385,25,243,2010-01-15 09:04:00,2011-11-04 11:55:00,658
12432,42,4,4359.32,4,3,5,Big Spenders,NORWAY,107,4,106,2011-06-20 13:27:00,2011-10-28 11:43:00,129
12433,0,10,16794.14,5,5,5,Champions,NORWAY,559,10,285,2010-08-20 09:23:00,2011-12-09 10:02:00,476
12434,84,3,1103.43,3,3,3,Loyal Customers,AUSTRALIA,70,3,62,2010-11-23 13:38:00,2011-09-16 12:38:00,296
12435,79,6,13925.93,3,4,5,Big Spenders,DENMARK,112,6,88,2009-12-02 13:58:00,2011-09-21 09:06:00,657
12436,99,1,429.01,3,1,2,Potential Loyalists,NORWAY,15,1,15,2011-09-01 12:09:00,2011-09-01 12:09:00,0
12437,1,38,11282.4,5,5,5,Champions,FRANCE,529,38,272,2009-12-02 16:24:00,2011-12-08 11:35:00,735
12438,13,2,2466.85,5,2,4,Big Spenders,NORWAY,96,2,83,2011-07-22 13:29:00,2011-11-25 13:28:00,125
12439,682,2,1142.88,1,2,3,At Risk,CYPRUS,71,2,69,2009-12-14 08:40:00,2010-01-26 12:11:00,43
12440,461,2,739.2,1,2,3,At Risk,AUSTRIA,30,2,20,2009-12-22 12:03:00,2010-09-03 13:11:00,255
12441,366,1,155.55,2,1,1,Lost,FRANCE,10,1,10,2010-12-08 10:45:00,2010-12-08 10:45:00,0
12442,2,1,144.06,5,1,1,Potential Loyalists,SPAIN,11,1,11,2011-12-06 14:22:00,2011-12-06 14:22:00,0
12443,731,1,365.31,1,1,2,Lost,NORWAY,20,1,20,2009-12-07 15:42:00,2009-12-07 15:42:00,0
12444,20,5,4085.46,4,4,5,Champions,NORWAY,172,5,137,2011-06-21 14:00:00,2011-11-18 13:23:00,149
12445,21,2,378.98,4,2,2,Potential Loyalists,SPAIN,23,2,23,2010-10-15 12:28:00,2011-11-17 18:43:00,398
12446,57,1,1002.31,4,1,3,Potential Loyalists,RSA,57,1,57,2011-10-13 12:50:00,2011-10-13 12:50:00,0
12447,242,1,431.49,2,1,2,Lost,BELGIUM,25,1,25,2011-04-10 13:25:00,2011-04-10 13:25:00,0
12448,43,1,365.45,4,1,2,Potential Loyalists,SPAIN,21,1,21,2011-10-26 13:46:00,2011-10-26 13:46:00,0
12449,21,5,4274.89,4,4,5,Champions,BELGIUM,196,5,124,2010-09-27 09:37:00,2011-11-17 13:46:00,416
12450,155,5,688.2,3,4,3,Loyal Customers,SPAIN,37,5,31,2010-08-22 13:11:00,2011-07-06 14:41:00,318
12451,10,8,12629.88,5,4,5,Champions,SWITZERLAND,510,8,351,2010-06-28 12:58:00,2011-11-29 08:40:00,518
12452,16,1,348.57,5,1,2,Potential Loyalists,SWITZERLAND,20,1,20,2011-11-23 08:05:00,2011-11-23 08:05:00,0
12453,133,1,707.09,3,1,3,Potential Loyalists,AUSTRIA,43,1,43,2011-07-28 14:08:00,2011-07-28 14:08:00,0
12454,55,4,16459.78,4,3,5,Big Spenders,SPAIN,39,4,23,2010-10-14 17:33:00,2011-10-14 17:13:00,364
12455,72,9,5722.95,3,5,5,Big Spenders,CYPRUS,220,9,198,2009-12-18 12:33:00,2011-09-27 15:31:00,648
12456,43,3,2581.04,4,3,4,Big Spenders,SWITZERLAND,122,3,104,2011-03-30 09:12:00,2011-10-26 14:41:00,210
12457,65,7,2555.91,3,4,4,Big Spenders,SWITZERLAND,80,7,62,2010-09-30 17:59:00,2011-10-04 13:13:00,368
12458,70,4,1502.49,3,3,4,Big Spenders,SWITZERLAND,80,4,70,2010-08-09 10:33:00,2011-09-29 15:25:00,416
12459,604,1,398.36,1,1,2,Lost,SPAIN,22,1,22,2010-04-13 14:53:00,2010-04-13 14:53:00,0
12460,455,1,296.65,1,1,2,Lost,BELGIUM,17,1,17,2010-09-09 13:51:00,2010-09-09 13:51:00,0
12461,154,1,626.88,3,1,3,Potential Loyalists,SWITZERLAND,34,1,34,2011-07-08 10:23:00,2011-07-08 10:23:00,0
12462,18,2,937.59,5,2,3,Potential Loyalists,SPAIN,60,2,50,2011-02-09 14:44:00,2011-11-21 09:11:00,284
12463,52,4,1200.78,4,3,3,Loyal Customers,BELGIUM,79,4,64,2011-04-12 12:47:00,2011-10-17 13:44:00,188
12464,9,8,957.05,5,4,3,Champions,BELGIUM,22,8,5,2011-02-03 13:30:00,2011-11-29 13:33:00,299
12465,16,2,682.19,5,2,3,Potential Loyalists,BELGIUM,45,2,45,2011-06-23 13:37:00,2011-11-22 16:34:00,152
12466,681,1,56.73,1,1,1,Lost,FRANCE,1,1,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0
12467,422,1,132.8,1,1,1,Lost,USA,9,1,9,2010-10-12 15:41:00,2010-10-12 15:41:00,0
12468,187,5,3238.74,3,4,5,Big Spenders,GERMANY,145,5,126,2010-01-26 10:09:00,2011-06-05 11:36:00,495
12469,522,2,3070.54,1,2,5,At Risk,THAILAND,76,2,76,2010-06-21 10:30:00,2010-07-05 12:40:00,14
12470,689,1,211.95,1,1,1,Lost,UNSPECIFIED,23,1,23,2010-01-19 11:01:00,2010-01-19 11:01:00,0
12471,1,72,35140.99,5,5,5,Champions,GERMANY,1088,72,253,2009-12-07 10:41:00,2011-12-07 15:43:00,730
12472,31,19,14971.29,4,5,5,Champions,GERMANY,822,19,396,2009-12-14 10:49:00,2011-11-07 14:01:00,693
12473,53,3,2585.73,4,3,4,Big Spenders,GERMANY,160,3,138,2011-06-01 10:15:00,2011-10-17 11:27:00,138
12474,16,29,11310.75,5,5,5,Champions,GERMANY,681,29,368,2010-02-11 09:41:00,2011-11-22 14:39:00,649
12475,53,2,1065.64,4,2,3,Potential Loyalists,GERMANY,59,2,53,2010-10-26 08:49:00,2011-10-17 10:10:00,356
12476,15,18,12319.91,5,5,5,Champions,GERMANY,498,18,357,2010-07-26 09:04:00,2011-11-24 12:40:00,486
12477,22,9,20276.37,4,5,5,Champions,GERMANY,564,9,295,2010-03-26 14:01:00,2011-11-17 09:51:00,600
12478,3,1,545.99,5,1,2,Potential Loyalists,GREECE,35,1,35,2011-12-06 09:56:00,2011-12-06 09:56:00,0
12479,10,1,473.2,5,1,2,Potential Loyalists,GERMANY,30,1,30,2011-11-28 13:26:00,2011-11-28 13:26:00,0
12480,27,7,4834.85,4,4,5,Champions,GERMANY,235,7,176,2010-07-20 13:21:00,2011-11-11 14:52:00,479
12481,22,14,11033.51,4,5,5,Champions,GERMANY,368,14,247,2010-04-11 13:10:00,2011-11-17 08:29:00,584
12482,575,27,21941.72,1,5,5,At Risk,SWEDEN,202,27,41,2010-02-24 10:24:00,2010-05-12 16:51:00,77
12483,16,19,4069.18,5,5,5,Champions,SWEDEN,122,19,67,2010-01-31 13:28:00,2011-11-22 17:02:00,660
12484,34,9,5557.1,4,5,5,Champions,SPAIN,465,9,328,2010-01-27 16:41:00,2011-11-04 15:18:00,645
12485,528,1,708.1,1,1,3,Lost,SWEDEN,34,1,34,2010-06-28 15:22:00,2010-06-28 15:22:00,0
12486,431,1,917.28,1,1,3,Lost,SWEDEN,48,1,48,2010-10-04 12:14:00,2010-10-04 12:14:00,0
12487,730,1,285.3,1,1,2,Lost,SWEDEN,2,1,2,2009-12-09 11:36:00,2009-12-09 11:36:00,0
12488,9,3,1244.66,5,3,4,Big Spenders,FRANCE,54,3,45,2011-09-25 10:34:00,2011-11-30 08:50:00,65
12489,335,1,298.93,2,1,2,Lost,FRANCE,14,1,14,2011-01-07 13:13:00,2011-01-07 13:13:00,0
12490,4,20,8764.64,5,5,5,Champions,FRANCE,441,20,194,2009-12-01 12:52:00,2011-12-04 16:07:00,733
12491,38,1,424.4,4,1,2,Potential Loyalists,FRANCE,25,1,24,2011-11-01 12:18:00,2011-11-01 12:18:00,0
12492,62,3,607.21,3,3,3,Loyal Customers,GERMANY,39,3,37,2010-11-01 14:58:00,2011-10-07 15:15:00,340
12493,165,2,379.74,3,2,2,Potential Loyalists,FRANCE,20,2,18,2011-05-26 14:53:00,2011-06-27 10:17:00,31
12494,15,9,1563.27,5,5,4,Champions,FRANCE,100,9,82,2010-05-12 13:52:00,2011-11-24 09:34:00,560
12495,640,1,277.4,1,1,1,Lost,SWEDEN,16,1,16,2010-03-09 10:53:00,2010-03-09 10:53:00,0
12496,619,2,45.34,1,2,1,At Risk,SPAIN,10,2,10,2010-03-29 13:57:00,2010-03-29 14:06:00,0
12497,81,3,5996.5,3,3,5,Big Spenders,GERMANY,55,3,40,2010-03-05 09:39:00,2011-09-19 12:29:00,563
12498,20,3,349.7,4,3,2,Loyal Customers,GERMANY,21,3,20,2011-10-13 09:30:00,2011-11-18 12:53:00,36
12499,559,1,357.72,1,1,2,Lost,GERMANY,26,1,26,2010-05-28 15:12:00,2010-05-28 15:12:00,0
12500,22,18,5559.21,4,5,5,Champions,GERMANY,130,18,87,2010-02-04 15:05:00,2011-11-16 16:20:00,650
12501,336,1,2025.39,2,1,4,Big Spenders,GERMANY,148,1,148,2011-01-07 12:28:00,2011-01-07 12:28:00,0
12502,95,5,2995.87,3,4,5,Big Spenders,SPAIN,142,5,101,2011-02-03 10:41:00,2011-09-05 11:52:00,214
12503,583,1,896.0,1,1,3,Lost,SPAIN,1,1,1,2010-05-04 13:59:00,2010-05-04 13:59:00,0
12504,17,4,689.05,5,3,3,Loyal Customers,GERMANY,17,4,10,2010-04-22 10:24:00,2011-11-21 16:02:00,578
12505,408,1,787.2,2,1,3,Lost,ITALY,41,1,41,2010-10-27 09:18:00,2010-10-27 09:18:00,0
12506,232,1,73.5,2,1,1,Lost,FRANCE,23,1,23,2011-04-21 08:54:00,2011-04-21 08:54:00,0
12507,133,4,1508.06,3,3,4,Big Spenders,SPAIN,46,4,45,2010-05-04 09:23:00,2011-07-28 17:09:00,450
12508,25,2,397.88,4,2,2,Potential Loyalists,FRANCE,68,2,57,2011-11-10 16:27:00,2011-11-13 15:37:00,2
12509,283,1,158.5,2,1,1,Lost,FRANCE,6,1,6,2011-02-28 14:45:00,2011-02-28 14:45:00,0
12510,142,7,3039.03,3,4,5,Big Spenders,SPAIN,137,7,92,2009-12-04 13:47:00,2011-07-20 10:15:00,592
12511,428,1,3084.02,1,1,5,Big Spenders,GREECE,190,1,190,2010-10-07 10:39:00,2010-10-07 10:39:00,0
12512,65,2,132.18,3,2,1,Potential Loyalists,ISRAEL,31,2,31,2011-10-04 14:53:00,2011-10-04 14:55:00,0
12513,112,1,558.29,3,1,2,Potential Loyalists,FRANCE,34,1,34,2011-08-19 10:51:00,2011-08-19 10:51:00,0
12514,266,2,1597.76,2,2,4,At Risk,ITALY,84,2,76,2010-03-08 12:18:00,2011-03-17 16:38:00,374
12515,352,1,278.7,2,1,1,Lost,ITALY,15,1,15,2010-12-21 15:43:00,2010-12-21 15:43:00,0
12516,77,4,2288.62,3,3,4,Big Spenders,GERMANY,70,4,48,2010-04-19 14:14:00,2011-09-23 09:13:00,521
12517,27,4,2301.6,4,3,4,Big Spenders,GERMANY,276,4,231,2011-06-02 15:13:00,2011-11-11 13:57:00,161
12518,0,5,1840.89,5,4,4,Champions,GERMANY,119,5,83,2011-08-21 13:18:00,2011-12-09 10:13:00,109
12519,63,2,626.54,3,2,3,Potential Loyalists,GERMANY,37,2,33,2010-08-20 08:21:00,2011-10-07 09:26:00,413
12520,78,5,2346.26,3,4,4,Big Spenders,GERMANY,147,5,120,2011-03-11 11:35:00,2011-09-21 15:23:00,194
12521,142,1,545.68,3,1,2,Potential Loyalists,GERMANY,37,1,37,2011-07-20 10:51:00,2011-07-20 10:51:00,0
12522,38,2,156.72,4,2,1,Potential Loyalists,GERMANY,10,2,10,2011-10-19 14:41:00,2011-10-31 15:30:00,12
12523,18,23,4010.35,5,5,5,Champions,FRANCE,238,23,175,2009-12-07 13:46:00,2011-11-20 12:55:00,712
12524,8,17,9794.11,5,5,5,Champions,GERMANY,224,17,156,2010-02-08 14:41:00,2011-11-30 15:31:00,660
12525,497,3,883.73,1,3,3,At Risk,FRANCE,59,3,55,2010-03-02 14:01:00,2010-07-29 16:08:00,149
12526,0,3,1172.66,5,3,3,Loyal Customers,GERMANY,68,3,63,2011-09-06 14:19:00,2011-12-09 12:09:00,93
12527,81,5,717.51,3,4,3,Loyal Customers,GERMANY,31,5,25,2010-06-28 15:37:00,2011-09-19 11:55:00,447
12528,8,6,1645.48,5,4,4,Champions,GERMANY,86,6,49,2011-01-31 09:05:00,2011-11-30 14:40:00,303
12529,527,1,316.48,1,1,2,Lost,FRANCE,21,1,21,2010-06-29 13:10:00,2010-06-29 13:10:00,0
12530,59,9,3381.26,3,5,5,Big Spenders,GERMANY,149,9,93,2010-03-07 14:37:00,2011-10-11 12:34:00,582
12531,14,2,1771.2,5,2,4,Big Spenders,GERMANY,126,2,125,2010-01-22 14:17:00,2011-11-25 11:12:00,671
12532,29,1,313.83,4,1,2,Potential Loyalists,FRANCE,15,1,15,2011-11-09 13:47:00,2011-11-09 13:47:00,0
12533,627,2,1223.89,1,2,4,At Risk,GERMANY,70,2,62,2009-12-01 11:50:00,2010-03-22 10:56:00,110
12534,130,1,981.18,3,1,3,Potential Loyalists,GERMANY,62,1,62,2011-08-01 10:26:00,2011-08-01 10:26:00,0
12535,91,2,716.35,3,2,3,Potential Loyalists,FRANCE,34,2,28,2011-06-06 12:47:00,2011-09-09 08:48:00,94
12536,58,1,4279.71,4,1,5,Big Spenders,FRANCE,259,1,259,2011-10-11 14:52:00,2011-10-11 14:52:00,0
12537,408,1,612.94,2,1,3,Lost,SWEDEN,42,1,42,2010-10-27 08:36:00,2010-10-27 08:36:00,0
12538,28,2,640.45,4,2,3,Potential Loyalists,SPAIN,34,2,33,2010-11-26 13:02:00,2011-11-10 17:16:00,349
12539,21,7,11186.75,4,4,5,Champions,SPAIN,503,7,275,2009-12-23 13:00:00,2011-11-17 13:30:00,694
12540,19,32,19250.49,4,5,5,Champions,SPAIN,739,32,353,2009-12-07 16:56:00,2011-11-20 11:31:00,712
12541,29,3,841.18,4,3,3,Loyal Customers,SPAIN,49,3,45,2011-03-04 09:32:00,2011-11-10 10:40:00,251
12542,483,2,481.88,1,2,2,At Risk,SPAIN,39,2,39,2010-03-09 16:26:00,2010-08-12 19:12:00,156
12543,447,1,840.25,1,1,3,Lost,SPAIN,42,1,42,2010-09-17 15:51:00,2010-09-17 15:51:00,0
12544,35,1,316.7,4,1,2,Potential Loyalists,SPAIN,18,1,18,2011-11-03 16:15:00,2011-11-03 16:15:00,0
12545,74,2,832.39,3,2,3,Potential Loyalists,SPAIN,48,2,41,2011-03-25 12:04:00,2011-09-25 13:39:00,184
12546,46,2,1021.5,4,2,3,Potential Loyalists,SPAIN,67,2,58,2011-09-23 09:44:00,2011-10-24 12:09:00,31
12547,197,3,299.58,2,3,2,At Risk,SPAIN,18,3,12,2010-07-27 13:55:00,2011-05-26 12:38:00,302
12548,165,1,67.2,3,1,1,Potential Loyalists,SPAIN,4,1,4,2011-06-26 15:35:00,2011-06-26 15:35:00,0
12549,575,5,1570.68,1,4,4,At Risk,USA,48,5,37,2010-01-11 12:29:00,2010-05-13 12:05:00,121
12550,78,1,824.83,3,1,3,Potential Loyalists,SPAIN,56,1,56,2011-09-21 14:35:00,2011-09-21 14:35:00,0
12551,357,1,168.0,2,1,1,Lost,SPAIN,10,1,10,2010-12-17 11:23:00,2010-12-17 11:23:00,0
12552,39,1,317.82,4,1,2,Potential Loyalists,ITALY,19,1,19,2011-10-31 12:11:00,2011-10-31 12:11:00,0
12553,7,12,4104.75,5,5,5,Champions,FRANCE,227,12,108,2010-10-12 13:35:00,2011-12-01 16:38:00,415
12554,448,1,384.5,1,1,2,Lost,SPAIN,25,1,25,2010-09-17 12:29:00,2010-09-17 12:29:00,0
12555,681,1,129.23,1,1,1,Lost,SPAIN,1,1,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0
12556,49,2,599.56,4,2,2,Potential Loyalists,SPAIN,119,2,100,2011-07-11 13:35:00,2011-10-20 13:06:00,100
12557,15,8,18096.14,5,4,5,Champions,SPAIN,53,8,15,2009-12-17 10:39:00,2011-11-23 16:59:00,706
12558,7,1,269.96,5,1,1,Potential Loyalists,USA,11,1,11,2011-12-02 10:41:00,2011-12-02 10:41:00,0
12559,310,2,525.71,2,2,2,At Risk,GERMANY,20,2,20,2011-01-24 10:12:00,2011-02-02 09:49:00,8
12560,4,2,1918.01,5,2,4,Big Spenders,GERMANY,103,2,90,2011-07-19 15:55:00,2011-12-04 13:54:00,137
12561,302,1,238.85,2,1,1,Lost,GERMANY,16,1,16,2011-02-10 11:39:00,2011-02-10 11:39:00,0
